GeneSymbol	corr_miRNA143_mrna	corr_miRNA143_protein
AGXT2L2	-0.0322937625754527	0.281490129818117
AHCTF1	-0.123038229376258	0.0197479673246892
AHCYL1	0.0761569416498994	-0.165045776275779
AHCYL2	-0.126928236083166	-0.21573493422373
AHCY	0.0339704896042924	-0.0859526305513127
AHNAK2	0.266566063044936	0.278669821380789
AHNAK	-0.0291750503018109	0.0272384974913353
AHSA1	-0.0835010060362173	0.0494642767386223
AHSG	-0.127017464299021	-0.0380797478332109
AIDA	0.10010060362173	0.0393708709433638
AIF1	0.198189134808853	-0.163272153068567
AIFM1	-0.0983903420523139	0.0747832794082222
AIM1	-0.168008048289738	-0.126612041578534
AIMP1	-0.0230046948356807	0.0697027113228654
AIMP2	-0.036150234741784	0.0478877254185627
AIP	0.158551307847082	0.103491062803425
AK1	0.0522132796780684	0.183537618027444
AK2	0.0813547954393025	0.238736397357459
AK3	0.00365526492287056	-0.048809933015909
AKAP12	0.332930918846412	0.236163167926612
AKAP13	-0.202313883299799	-0.0236801507445069
AKAP1	-0.158115358819584	-0.0909271175912899
AKAP9	-0.0659959758551308	-0.204408647666269
AKR1A1	0.00674044265593561	-0.139337184253591
AKR1B10	-0.142555331991952	-0.116896794940197
AKR1B1	0.343427230046948	0.182530034631118
AKR1C1	0.0912474849094567	-0.0702086810461852
AKR1C3	0.0789067739771965	-0.123442713677877
AKR1C4	0.00757880617035547	-0.0460947718157185
AKR7A2	-0.0740778001341382	-0.019550637156271
AKR7A3	-0.143729040912139	0.0327827619161825
ALAD	-0.0138832997987928	0.141334876005703
ALB	0.0192623722072162	-0.208347030998916
ALCAM	0.027028839704896	-0.170099794819781
ALDH16A1	-0.0400402414486922	0.0700045272487282
ALDH18A1	-0.0762910798122066	0.0545280772725423
ALDH1A1	0.0263581488933602	-0.116684412180594
ALDH1A2	0.0451546374482455	0.14966967378214
ALDH1A3	0.5060697518444	0.203323328722893
ALDH1B1	0.0548960429242119	0.150722256228102
ALDH1L1	-0.106807511737089	-0.223335045049385
ALDH1L2	0.277833668678739	0.0721670307839712
ALDH2	0.0028504359490275	-0.154911628379091
ALDH3A1	-0.0152582159624413	0.0472872703008862
ALDH3A2	-0.133065057008719	-0.232563988639868
ALDH3B1	0.02018779342723	0.160525190989498
ALDH4A1	-0.0658618376928236	-0.0716812823924103
ALDH5A1	-0.145372233400402	-0.0884160400021437
ALDH6A1	-0.0359825620389001	-0.151111707385687
ALDH7A1	-0.213581488933602	-0.28409262399406
ALDH9A1	-0.0693494299128102	-0.0445521312165748
ALDOA	-0.0277330650570087	-0.124520934864473
ALDOB	-0.208853118712274	0.037625754527163
ALDOC	-0.134372904091214	-0.0189479685669928
ALG1	-0.0796780684104628	0.0119741292887653
ALG2	0.00425888665325285	0.00246631928466698
ALG5	0.140912139503689	-0.0326259487502187
ALOX15	-0.01608116044891	-0.121358450110898
ALOX5AP	0.398926894701543	-0.00235197714479384
ALOX5	0.151173708920188	0.205586263214468
AMACR	-0.0305835010060362	-0.010954271867543
AMBP	-0.0770965551381482	0.0335024104255799
AMPD2	-0.00073775989268947	0.11684772948498
ANK1	-0.0405271718227967	-0.152536831916142
ANK3	-0.16140174379611	-0.00559152277622752
ANKFY1	-0.0711602951039571	-0.0213135235656176
ANKHD1	-0.0268276324614353	0.0221009298782156
ANKRD17	-0.163313212608987	0.00917192753293621
ANKRD22	-0.0920858484238766	0.0605094472418537
ANKRD28	-0.151240778001341	-0.087558999658215
ANKS1B	0.0604029117279482	0.127399501741698
ANKS3	-0.198189134808853	-0.0556016836039503
ANKS4B	-0.404359490274983	-0.22456284246534
ANLN	-0.0645875251509054	0.0369747634336514
ANP32A	-0.0914486921529175	-0.0982737950553907
ANP32B	-0.21579476861167	0.0468165736628706
ANP32D	-0.184543084610399	-0.0693349877984707
ANP32E	-0.0291415157612341	-0.0206577965641269
ANPEP	-0.036485580147552	0.16948165826957
ANXA10	0.02805764288843	0.0556058627089268
ANXA11	0.106438631790744	0.132009825707403
ANXA13	-0.143695506371563	-0.114085463497164
ANXA1	0.179610999329309	0.231159402137219
ANXA2	0.251542588866533	0.272942247426948
ANXA3	0.189906103286385	0.0828498608735777
ANXA4	0.221227364185111	0.161327375291461
ANXA5	0.273272971160295	0.0804882958413924
ANXA6	0.399027498323273	0.314994299454282
ANXA7	0.128672032193159	0.315081700678984
AOC2	0.0529510395707579	0.163402385708359
AOC3	0.478470824949698	0.13518387097463
AP1B1	0.0704896042924212	0.157317124430826
AP1G1	-0.0951710261569416	-0.00266610773657018
AP1G2	-0.173038229376258	-0.0370001123002179
AP1M1	0.224714956405097	0.107182681931506
AP1M2	-0.198926894701543	-0.254024144869215
AP1S1	0.140308517773306	-0.0221694911821833
AP2A1	0.171763916834339	0.269926306078989
AP2A2	0.00331991951710262	0.141079812206573
AP2B1	-0.198859825620389	0.141307264386545
AP2M1	0.105969148222669	0.2232264122784
AP2S1	0.13420523138833	0.185426466307518
AP3B1	0.0631455399061033	-0.210950796040244
AP3B2	0.101315688746797	-0.21676504173785
AP3D1	-0.123138832997988	-0.056524363692538
AP3M1	0.0895372233400402	-0.124870049367645
AP3M2	-0.147350771294433	-0.199583740322882
AP3S1	0.108484238765929	-0.0726406869968566
APAF1	-0.215962441314554	-0.0865147905932833
APEH	-0.0821931589537223	-0.228744854486866
APEX1	-0.225083836351442	-0.133890020750449
API5	-0.0619047619047619	-0.236072335898005
APOA1BP	-0.0227364185110664	0.000653934506036024
APOA1	-0.164563394458473	-0.196317784073638
APOA2	0.164924191350146	-0.221873772542439
APOA4	0.154079884273621	0.0726910767883276
APOB	0.12606182219424	-0.104513900591987
APOC3	0.02913477029269	-0.12849728805521
APOD	0.316331321260899	-0.0953452145051795
APOE	0.242018779342723	-0.00830014672705809
APOH	0.122604323647465	-0.0380791093130208
APOL2	0.0734071093226023	0.14533492274082
APOOL	-0.00516431924882629	-0.0709380435116726
APOO	-0.0331321260898726	-0.0977135340809234
APPL1	-0.155566733735748	-0.0415202866628396
APPL2	-0.0720321931589537	-0.0203059983193968
APP	0.173910127431254	-0.0800994065901677
APRT	-0.047719651240778	-0.154515577403363
ARAP1	-0.0344735077129443	0.292734272776374
ARCN1	-0.0152917505030181	-0.0156273579391173
ARF1	0.094131455399061	-0.221782543456348
ARF3	0.0874245472837022	-0.225102490806794
ARF4	0.0343058350100604	-0.190075369518497
ARF5	0.113145539906103	-0.252657701607583
ARF6	-0.108819584171697	0.044619576647882
ARFGAP1	0.0313883299798793	0.000301843764107881
ARFGAP2	-0.170824949698189	-0.103325117088327
ARFGAP3	0.138329979879276	-0.0476046750103473
ARFGEF1	-0.0275318578135479	0.0726897732193926
ARFGEF2	-0.0329309188464118	-0.0410301983659013
ARFIP1	0.100402414486922	-0.245279855263852
ARFIP2	-0.117437961099933	-0.113710895959682
ARHGAP17	0.0349094567404427	0.129403874019018
ARHGAP18	-0.0484909456740443	-0.176402035969875
ARHGAP1	0.133031522468142	0.231526350239626
ARHGAP4	-0.020355466130114	-0.105851818338156
ARHGDIA	-0.0296780684104628	-0.107346764288588
ARHGDIB	0.180415828303152	0.0611009574357762
ARHGEF10L	-0.112273641851107	-0.157342170941269
ARHGEF16	-0.240207914151576	-0.198234064520521
ARHGEF1	0.136317907444668	0.10855494824844
ARHGEF2	-0.0856807511737089	-0.0416383686687338
ARHGEF6	0.401542588866532	0.12840133475618
ARHGEF7	-0.0124077800134138	0.118136314213462
ARL1	0.0614688128772636	-0.185683024156454
ARL3	0.221596244131455	-0.190802828758699
ARL6IP1	-0.1518779342723	0.165237149484019
ARL6IP5	0.197048960429242	0.123157665303451
ARL8A	0.203420523138833	0.0984791322070341
ARL8B	0.0664654594232059	0.0848934011884394
ARMC10	0.120254862508384	0.300391642998779
ARMCX3	0.0851106639839034	-0.140761414762156
ARPC1A	0.0527162977867203	0.0445174758355336
ARPC1B	0.130918846411804	0.130416921675623
ARPC2	0.432595573440644	0.166376014862145
ARPC3	0.113849765258216	0.369409022811915
ARPC4	0.0187122736418511	0.00628788450612629
ARPC5L	0.00952380952380952	0.215151667861136
ARPC5	0.268443997317237	0.189000670690812
ARSA	0.0655600268276325	0.0417772541585116
ARSE	0.0487592219986586	0.125573064828556
ASAH1	0.261971830985915	-0.0532193158953722
ASCC3	-0.0514419852448021	-0.0209554407038918
ASL	-0.00221327967806841	-0.0645718405831982
ASMTL	0.127263581488934	-0.0522083315268896
ASNA1	0.162877263581489	0.119636479501719
ASNS	0.10784708249497	0.0247228338143827
ASPH	-0.0550301810865191	-0.0151253459071082
ASPN	0.413816230717639	0.207816460076019
ASPSCR1	-0.0295774647887324	0.0979945001868952
ASS1	0.0390342052313883	0.0150739023638963
ATAD1	0.0958081824279007	0.0279382543944913
ATAD3A	-0.129543930248156	-0.138083101455963
ATAD3B	-0.19486921529175	-0.119401733781603
ATG3	0.131891348088531	-0.000150918085547643
ATG5	0.183031522468142	-0.073826159518255
ATG7	-0.0356807511737089	0.0248511780868453
ATIC	0.0386988598256204	-0.142266641559548
ATL2	-0.0198189134808853	0.0336202175434949
ATL3	0.197820254862508	0.263269532348504
ATM	-0.0716297786720322	0.0654579486842466
ATOX1	0.306405097250168	-0.0176323803172549
ATP12A	0.0163387076874873	0.03527863245121
ATP13A1	-0.0536217303822938	0.0649071916119346
ATP1A1	0.0593226022803488	-0.145407287445264
ATP1A2	0.284657273946902	-0.0632304364682525
ATP1A3	-0.0820590207914151	-0.0999513741148908
ATP1B1	-0.1719651240778	-0.282969198047793
ATP1B3	0.0517773306505701	0.106156258155428
ATP2A1	-0.0384976525821596	0.024111334674715
ATP2A2	-0.0391683433936955	-0.0271131306733398
ATP2A3	-0.186250838363514	-0.122872616929025
ATP2B1	-0.20868544600939	-0.0432435151555617
ATP2B2	0.0924505112905014	-0.0921520292328364
ATP2B4	0.21130114017438	0.155049548136285
ATP4A	0.0843273004261833	0.0178911273814313
ATP5A1	-0.0397048960429242	-0.11149773264185
ATP5B	-0.0955063715627096	-0.168183397898202
ATP5C1	-0.0411468812877264	-0.057110759007643
ATP5D	-0.0844399731723675	-0.0677627886070406
ATP5E	0.0582830315224681	0.124333478724464
ATP5F1	-0.0360160965794769	0.144906394405182
ATP5H	-0.0247820254862508	0.000335353840326735
ATP5I	-0.0626425217974514	0.0611847951929603
ATP5J2	0.139604292421194	0.101929945184436
ATP5J	0.104091213950369	-0.205493485345243
ATP5L2	-0.105566733735748	-0.0913046761660729
ATP5L	-0.0202883970489604	-0.114187982631253
ATP5O	0.0119382964453387	-0.152355081769643
ATP6V0A1	-0.0287055667337357	0.172856741320126
ATP6V0D1	0.158853118712274	-0.0423897916259803
ATP6V1A	0.10429242119383	0.157246097374509
ATP6V1B2	0.112072434607646	0.0370227535725011
ATP6V1C1	0.104761904761905	0.0109842197424197
ATP6V1D	0.032729711602951	0.071256504104208
ATP6V1E1	0.291851106639839	0.257338084485173
ATP6V1G1	0.0798122065727699	-0.240708291477905
ATP6V1H	0.237391012743125	0.00724388588773633
ATP8B1	-0.0900067069081153	-0.229144701465601
ATPAF1	-0.122367538564722	-0.115042317138492
ATRX	0.0107310529845741	0.108040668634061
ATXN10	0.208048289738431	0.241571574529331
ATXN2L	-0.0283702213279678	0.18387536178765
AUP1	0.126760563380282	-0.0636676304960093
AVIL	-0.0109657947686117	0.0840627834016436
AVL9	0.0300134138162307	-0.168171843083036
AZGP1	0.0415828303152247	-0.0973108570873563
AZU1	0.144938282239509	0.131825384187934
B2M	0.276291079812207	0.144905179517008
B3GNT3	0.0210596914822267	-0.157268297519573
B4GALT1	0.290107310529846	-0.125529330669083
BAG2	-0.0261569416498994	0.152970003493409
BAG3	0.0556338028169014	0.238750359618661
BAG5	-0.196780684104628	-0.0302895647501532
BAIAP2L1	0.0339704896042924	0.0530346986392406
BANF1	-0.0314218645204561	0.161588893196645
BASP1	0.455130784708249	-0.0383265468027498
BAX	0.0219651240778001	0.190984012066076
BAZ1A	-0.0695841716968477	0.0478214576305924
BAZ1B	-0.0129107981220657	0.15957451157664
BCAP31	0.139906103286385	0.249568235585646
BCAS1	-0.0968142186452045	-0.0582986553374173
BCAS2	0.0639503688799463	0.056528155365438
BCAT1	0.335211267605634	0.184778416833769
BCAT2	-0.24822266934943	-0.0586376022313579
BCCIP	0.014654594232059	-0.216961441299815
BCKDHA	0.119382964453387	-0.11382182677073
BCKDHB	-0.0260898725687458	-0.00124149637861597
BCL2L13	-0.0177397719651241	-0.109345786745205
BCL2L15	-0.100033534540577	-0.131874534121009
BCLAF1	-0.0813547954393025	0.0663536516124472
BDH1	-0.226190476190476	-0.216068479322516
BDH2	0.0659959758551308	0.126174383020073
BGN	0.402347417840376	0.336544346459895
BID	0.286217303822938	0.00761297898207001
BIN1	0.0346747149564051	-0.0451912033549249
BIRC6	-0.185211267605634	-0.0372444883780442
BLVRA	0.228403755868545	0.181594104536927
BLVRB	0.167002012072435	-0.0830825208154685
BNC1	0.230786733590057	-0.0146927057507823
BOLA2	0.0132461435278337	0.0429927227848316
BOP1	-0.163145539906103	-0.0125764016757676
BPHL	-0.200402414486922	0.0374850450127198
BPI	0.32511761454984	0.135788300824111
BPNT1	-0.0919517102615694	-0.0753024421760382
BPTF	-0.20093896713615	0.234470500852354
BRD4	-0.0641851106639839	0.0703775437775956
BRE	0.0919852448021462	0.201668043859638
BRI3BP	-0.212441314553991	-0.13887522505515
BRIX1	-0.0699530516431925	-0.146889908279098
BSG	-0.128001341381623	-0.247216633132126
BSPRY	-0.0783031522468142	0.166981648681736
BTAF1	-0.156136820925553	-0.17830011451623
BTF3	0.0533199195171026	-0.193953519677125
BUB3	0.105734406438632	-0.0512407780013414
BUD31	0.158450704225352	0.0567873091157279
BYSL	-0.0318242790073776	-0.0401039942055018
BZW1	0.098524480214621	-0.0461446884289588
BZW2	-0.0450033534540577	-0.121899076958316
C11orf54	-0.053252850435949	-0.165522565383819
C12orf10	-0.00774647887323943	-0.00597566448836201
C12orf5	0.191817572099262	-0.060669579109199
C14orf159	-0.123172367538565	-0.119146532215195
C14orf166	-0.180985915492958	0.131656606304494
C14orf2	-0.133836351441985	-0.0388252145217649
C15orf48	-0.0670020120724346	-0.243848456149215
C16orf62	0.186787391012743	0.0520225414507881
C17orf49	0.0685110663983903	0.0510279373411533
C19orf10	0.0497317236753856	-0.365259822384782
C19orf21	-0.0854795439302481	-0.253892135254859
C19orf43	0.00321931589537223	-0.0931552419552582
C19orf70	-0.014654594232059	-0.0568667277307519
C1QA	0.262776659959759	0.252402338975586
C1QBP	0.0180415828303152	0.0113852628790927
C1QB	0.297048960429242	0.156776926574302
C1QC	0.308718980549966	0.0325295952428133
C1R	0.523977196512408	0.345973590746242
C1S	0.502112676056338	0.224588349836207
C1orf123	0.0868879946344735	0.111812595165358
C20orf112	-0.0313883299798793	0.135370386844924
C20orf27	0.133668678739101	0.215779582157315
C21orf33	-0.00690811535881958	-0.0604907018627562
C22orf28	0.257042253521127	-0.0574125774639371
C2orf47	-0.00670690811535882	-0.103082238652342
C2	0.0664654594232059	-0.0256066123201357
C3	0.346847753185781	0.0227213656942202
C4A	0.27907444668008	-0.040141181600854
C4BPA	-0.124077800134138	0.10888665325285
C5	-0.0204560697518444	0.134997820257675
C6orf211	-0.0182092555331992	-0.126270249155072
C6	-0.186702745730422	0.180206482244598
C7orf50	0.11150234741784	0.0767675625747476
C7	0.22887323943662	0.276392917766342
C8A	0.0862176886019106	0.266204356770738
C8B	0.302941440945842	0.221117262962017
C8G	-0.145238095238095	0.208359905494477
C9orf142	-0.207914151576123	0.292196250876941
C9orf64	0.0723004694835681	-0.0537788674449789
C9orf89	0.131556002682763	-0.0681025471785774
C9	-0.266805366299213	0.15108323865228
CA1	-0.00981564930688878	-0.339235412474849
CA2	-0.124111334674715	-0.211487353187791
CAB39L	0.141281019450034	0.0491641095915246
CAB39	0.212843729040912	0.0972198934112534
CACNA1D	-0.234071093226023	0.211822390036971
CACYBP	0.0674714956405097	-0.0400070423139673
CAD	-0.200670690811536	-0.141298971324309
CALD1	0.420556673373575	0.300980071693245
CALM1	0.0545271629778672	-0.135413610112154
CALR	0.0128437290409121	-0.0145887482696055
CALU	0.271227364185111	0.242020808365383
CAMK1D	0.0877934272300469	0.110774285107736
CAMK2D	-0.0540912139503689	0.100941505938347
CAMK2G	-0.0929577464788732	0.0763974480463963
CAMP	0.0677295288705065	0.212236614808642
CAND1	-0.0367538564721663	-0.0739312335162719
CAND2	0.15784708249497	-0.0607335988796049
CANT1	0.00767940979208585	-0.224888058577142
CANX	0.147920858484239	0.024380633012409
CAP1	0.17531857813548	0.0247195160925153
CAP2	0.264788732394366	0.0934990024155325
CAPG	0.198490945674044	0.0738790704329049
CAPN1	-0.0445674044265593	-0.0972861490787859
CAPN2	0.152448021462106	0.0929920606342257
CAPN5	-0.147887323943662	-0.198190201167543
CAPNS1	0.12531857813548	0.0425053865322326
CAPRIN1	-0.0972501676727029	-0.0213953956333838
CAPZA1	0.142488262910798	0.044518595551376
CAPZA2	0.221931589537223	0.0159794765192905
CAPZB	0.141012743125419	0.144115896348931
CARD16	-0.0111334674714956	0.0549213082024902
CARHSP1	-0.004560697518444	-0.142381635505257
CARKD	0.121898054996647	0.16499930185812
CARM1	0.0423876592890677	-0.0722717823075836
CARS2	0.183836351441985	0.136492372613421
CARS	0.0756874580818243	-0.0855159462568804
CASK	-0.0821931589537223	-0.0362514462064073
CASP10	-0.0130449362843729	-0.11596283011832
CASP1	-0.0552313883299799	-0.0216972115592465
CASP3	-0.0449027498323273	0.0659537934336018
CASP6	-0.0504359490274983	-0.158306434848799
CAST	0.0353118712273642	0.113364464830148
CAT	-0.0138162307176392	-0.224821214555043
CAV1	0.443192488262911	0.304633985658227
CBFB	0.153085177733065	0.0750081147196469
CBLL1	0.248993963782696	0.15424723229673
CBR1	0.17186452045607	-0.124720184557289
CBR3	0.0183098591549296	-0.0528685329275098
CBR4	0.00697518443997317	-0.105679748259358
CBX1	-0.0251844399731724	0.0234751624603663
CBX3	0.0444332662642522	-0.000905440186485429
CBX5	-0.140643863179074	0.00461142461443607
CC2D1A	-0.118678739101274	0.0172233079668243
CC2D1B	0.0844735077129443	0.299151758914499
CCAR1	-0.0844399731723675	0.0611680276415235
CCDC124	0.0658618376928236	0.169106261767208
CCDC15	0.0784708249496982	-0.0286897615775534
CCDC22	0.104359490274983	0.15533412885989
CCDC25	-0.0924882629107981	-0.108554038113764
CCDC47	-0.11747149564051	0.015292519763803
CCDC51	-0.122468142186452	0.0155037357777745
CCDC58	-0.161267605633803	-0.104676220846587
CCDC6	-0.127263581488934	0.0142194797055565
CCL18	0.107209926224011	0.272548921316726
CCNK	-0.152481556002683	-0.0803591134369636
CCS	-0.0028504359490275	0.0682508012013582
CCT2	-0.0261904761904762	-0.0230060449953107
CCT3	0.00221327967806841	0.075709938088121
CCT4	0.112474849094567	0.127503668106161
CCT5	-0.010261569416499	0.0295614410248017
CCT6A	-0.00365526492287056	-0.0996160230861543
CCT6B	-0.143158953722334	0.0199367858074244
CCT7	0.0622736418511066	-0.234876877696636
CCT8	0.155499664654594	-0.0496336167772554
CD109	0.213682092555332	0.241285007256702
CD14	0.283199195171026	0.1725884069392
CD151	0.120925553319919	0.348784376529834
CD163	0.321830985915493	0.0865108891019051
CD276	0.145808182427901	0.252319729498163
CD2AP	-0.110932260228035	-0.257612340710932
CD2BP2	0.113883299798793	0.0380330692439932
CD44	-0.0138832997987928	-0.0665001089984326
CD46	0.0971830985915493	0.127740561788832
CD47	0.0527162977867203	-0.0115868637695042
CD55	0.0777665995975855	0.200585193375744
CD59	0.298558014755198	0.170894884244081
CD63	0.206438631790744	0.217682454120268
CD74	0.143259557344064	-0.157533787271253
CD81	0.325452716297787	0.250368879946345
CD97	-0.0306505700871898	-0.0398427086687277
CD9	0.300335345405768	0.249662539311357
CDAN1	-0.271093226022803	0.073394841150104
CDC37	-0.0693158953722334	-0.0796787364107177
CDC42BPB	-0.0975855130784708	-0.0102463484925472
CDC42	0.141348088531187	-0.208435684411118
CDC5L	0.0219315895372233	-0.227103524726115
CDC73	0.0216297786720322	-0.212642141842384
CDH17	-0.0533869885982562	-0.0992479690446973
CDH1	-0.133702213279678	-0.169568826035688
CDK11B	-0.13158953722334	-0.0422466720798932
CDK12	-0.0838363514419852	0.0320092556928915
CDK13	-0.0447350771294433	0.0324957871276606
CDK1	-0.0161636485580148	-0.110182351805048
CDK2	-0.117840375586854	-0.0191485437408497
CDK4	-0.0390006706908115	-0.0051979845250644
CDK5RAP3	-0.154996646545942	0.0658819190262961
CDK5	0.101609657947686	0.0993343060096152
CDK6	-0.159255533199195	0.0567749291650764
CDK9	0.164252179745137	0.0437469084706226
CDKN2AIP	-0.0829644533869886	-0.256097508704885
CDS2	0.332696177062374	0.147374865209289
CDV3	-0.0668008048289738	-0.0811395419484401
CEACAM1	0.0565392354124748	-0.0805595433935968
CEACAM5	0.0575117370892019	-0.0609170250953515
CEACAM6	0.150335345405768	-0.000504956479549385
CEACAM7	-0.00885311871227364	-0.0805559164375624
CEACAM8	0.0904761904761905	-0.0810133073485958
CEBPZ	0.0549966465459423	-0.0589065661948676
CECR5	0.0480885311871227	-0.0635668533842811
CENPV	-0.293494299128102	-0.183707307689693
CES1	0.19476861167002	0.101115965181998
CES2	-0.113849765258216	-0.14706666341657
CFB	0.0653923541247485	0.1596103221271
CFHR1	0.342320590207914	0.147290741686093
CFHR3	-0.105332424839467	0.198938278398414
CFH	0.458987256874581	0.215125881344594
CFI	0.0844064386317907	0.151319264962836
CFL1	-0.0336016096579477	-0.00872029658940189
CFL2	0.173407109322602	0.042573170029479
CGN	0.0933601609657948	0.0376446952555346
CHCHD2	0.142957746478873	0.011603242875305
CHCHD3	0.0719986586183769	0.130014503814963
CHD3	-0.0699195171026157	0.0282212087293882
CHD4	-0.169919517102616	-0.0633310417768734
CHDH	-0.271797451374916	-0.205171199686115
CHERP	-0.182863849765258	-0.0491473414777485
CHFR	0.242085848423877	-0.038472499891823
CHGA	0.0696200409526603	-0.0254192913468638
CHI3L1	0.412307176391683	0.228361394895886
CHID1	0.00140845070422535	-0.0242642744208266
CHMP1A	-0.0017102615694165	0.202904630395755
CHMP2A	0.212072434607646	-0.000804903205428842
CHMP2B	0.0910127431254192	0.268864122566027
CHMP4A	-0.159590878604963	-0.137361951472286
